Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
AOT.BK,2024-04-01,2023-09-30,2023-11-14,annual,fixed,True,139,63.69542694091797,5269658894.0,14285700000.0,0.1,55384119007.0,1.907056030363309,0.7327117919921875,1.1743442383711216,63.6951945594935,2024-04-01,50,17,2025-04-01,2025-04-01,37.92250061035156,-0.4046275779652537,-0.15328961922712747,-0.25133795873812625,12
BBL.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,124.49742126464844,110058999000.0,1908843000.0,0.1,473061020000.0,0.2352337042234515,-0.13739323616027832,0.3726269403837298,124.4976190907689,2024-04-01,50,17,2025-04-01,2025-04-01,138.90237426757812,0.11570483032181511,-0.15328961922712747,0.2689944495489426,12
MINT.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,31.52787208557129,29240934690.0,5479000000.0,0.1,183214623848.0,0.2237967270720304,-0.00096893310546875,0.22476566017749916,31.52729708655558,2024-04-01,50,17,2025-04-01,2025-04-01,25.317798614501957,-0.19697090416423535,-0.15328961922712747,-0.04368128493710788,12
CCET.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,2.294170379638672,11651127561.0,6428153000.0,0.1,17417417506.0,-0.1238979823102164,-0.3091583251953125,0.1852603428850961,2.294150947505455,2024-04-01,50,17,2025-04-01,2025-04-01,5.627192974090576,1.4528226081346451,-0.15328961922712747,1.6061122273617725,12
CPN.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,58.414947509765625,19898007759.0,4488000000.0,0.1,120154806799.0,0.2821903946987536,0.10367012023925781,0.1785202744594958,58.415219773338606,2024-04-01,50,17,2025-04-01,2025-04-01,46.47528839111328,-0.20439390306147776,-0.15328961922712747,-0.051104283834350284,12
OR.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,16.848590850830078,28829293622.0,12058768179.0,0.1,-15560274183.0,-0.0253790588577904,-0.13578033447265625,0.11040127561486585,16.848486352457197,2024-04-01,50,17,2025-04-01,2025-04-01,11.395051956176758,-0.32367922890029943,-0.15328961922712747,-0.17038960967317196,12
TISCO.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,84.88508605957031,7261251000.0,800655000.0,0.1,18471289000.0,0.0553973029748231,-0.0059528350830078125,0.06135013805783091,84.88419458163965,2024-04-01,50,17,2025-04-01,2025-04-01,91.02481079101562,0.07232984045202717,-0.15328961922712747,0.22561945967915464,12
CPALL.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,52.15341567993164,58828831358.0,8983000000.0,0.1,360292526701.0,0.0798242383212359,0.0318756103515625,0.047948627969673405,52.1532736162668,2024-04-01,50,17,2025-04-01,2025-04-01,48.68292999267578,-0.06654378513872261,-0.15328961922712747,0.08674583408840486,12
PTT.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,29.50947952270508,204486768442.0,28577520650.0,0.1,744307776508.0,-0.0660248283219039,-0.09867286682128906,0.03264803849938516,29.509097857407593,2024-04-01,50,17,2025-04-01,2025-04-01,29.897314071655277,0.013142710587348283,-0.15328961922712747,0.16643232981447575,12
CENTEL.BK,2024-04-01,2023-12-31,2024-02-14,annual,fixed,True,47,41.344913482666016,2807020487.0,1350000000.0,0.1,24586374912.0,0.231912841496547,0.20052146911621094,0.03139137238033607,41.34488547452477,2024-04-01,50,17,2025-04-01,2025-04-01,28.55970001220703,-0.3092330444909318,-0.15328961922712747,-0.15594342526380434,12
