Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
AOT.BK,2024-09-30,2023-09-30,2023-11-14,annual,fixed,True,321,62.23675155639648,5269658894.0,14285700000.0,0.1,55384119007.0,1.907056030363309,0.7255477905273438,1.1815082398359653,62.23683906992252,2024-09-30,50,17,2025-09-30,2025-09-30,39.89250183105469,-0.35902017966176003,-0.12055238875995622,-0.2384677909018038,12
BBL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,141.7274932861328,110058999000.0,1908843000.0,0.1,473061020000.0,0.2352337042234515,-0.12794828414916992,0.3631819883726214,141.72697255540447,2024-09-30,50,17,2025-09-30,2025-09-30,149.0,0.05131330940274781,-0.12055238875995622,0.17186569816270403,12
MINT.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,27.508760452270508,29240934690.0,5479000000.0,0.1,183214623848.0,0.2237967270720304,-0.015142440795898438,0.23893916786792885,27.5089343471975,2024-09-30,50,17,2025-09-30,2025-09-30,23.100000381469727,-0.16026749291194953,-0.12055238875995622,-0.03971510415199331,12
CPN.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,61.87828826904297,19898007759.0,4488000000.0,0.1,120154806799.0,0.2821903946987536,0.11310005187988281,0.1690903428188708,61.877746015416896,2024-09-30,50,17,2025-09-30,2025-09-30,53.94023132324219,-0.12828501188149555,-0.12055238875995622,-0.007732623121539328,12
CCET.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,3.534690618515014,11651127561.0,6428153000.0,0.1,17417417506.0,-0.1238979823102164,-0.265167236328125,0.1412692540179086,3.535248648252059,2024-09-30,50,17,2025-09-30,2025-09-30,5.400201797485352,0.5277721250054046,-0.12055238875995622,0.6483245137653608,12
OR.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,16.673603057861328,28829293622.0,12058768179.0,0.1,-15560274183.0,-0.0253790588577904,-0.1381378173828125,0.1127587585250221,16.67347993953493,2024-09-30,50,17,2025-09-30,2025-09-30,13.904167175292969,-0.1660970261171365,-0.12055238875995622,-0.045544637357180284,12
TISCO.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,89.17658996582031,7261251000.0,800655000.0,0.1,18471289000.0,0.0553973029748231,0.0027332305908203125,0.05266407238400279,89.17696556891886,2024-09-30,50,17,2025-09-30,2025-09-30,102.0,0.14379794113112698,-0.12055238875995622,0.2643503298910832,12
CENTEL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,39.78829956054688,2807020487.0,1350000000.0,0.1,24586374912.0,0.231912841496547,0.19392967224121094,0.03798316925533607,39.78811262704775,2024-09-30,50,17,2025-09-30,2025-09-30,30.0,-0.2460094969791754,-0.12055238875995622,-0.12545710821921918,12
PTT.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,30.43377494812012,204486768442.0,28577520650.0,0.1,744307776508.0,-0.0660248283219039,-0.09517097473144531,0.029146146409541412,30.433382123014344,2024-09-30,50,17,2025-09-30,2025-09-30,31.06517601013184,0.02074672179471837,-0.12055238875995622,0.1412991105546746,12
AWC.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,3.6511361598968506,2690072194.0,32013716000.0,0.1,70540783275.0,0.463910372843862,0.437042236328125,0.026868136515736996,3.650748202405634,2024-09-30,50,17,2025-09-30,2025-09-30,2.240000009536743,-0.3864923378809225,-0.12055238875995622,-0.2659399491209663,12
