Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
KBANK.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,149.0393524169922,71180078000.0,2369327593.0,0.06,-170514380000.0,0.0,-0.4168844223022461,0.4168844223022461,149.03902417447685,2025-03-31,50,14,2025-09-30,2025-09-30,167.5,0.1238642498348852,0.10023407641113335,0.023630173423751843,6
KTB.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,20.696924209594727,76378584000.0,13976061250.0,0.06,-72783189000.0,0.0,-0.40093994140625,0.40093994140625,20.697429716677213,2025-03-31,50,14,2025-09-30,2025-09-30,22.86091423034668,0.10455611659189268,0.10023407641113335,0.004322040180759323,6
TTB.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,1.8243178129196167,9309938000.0,97404035255.0,0.06,-136791624000.0,0.0,-0.329345703125,0.329345703125,1.8248792555112057,2025-03-31,50,14,2025-09-30,2025-09-30,1.8343455791473389,0.00549672110676469,0.10023407641113335,-0.09473735530436866,6
OR.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,11.29929542541504,13866184662.0,12000000000.0,0.06,-18497270084.0,0.0,-0.21746826171875,0.21746826171875,11.298900838100796,2025-03-31,50,14,2025-09-30,2025-09-30,13.904167175292969,0.23053399807733999,0.10023407641113335,0.13029992166620663,6
KKP.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,50.22027969360352,8527328000.0,846760480.0,0.06,40259128000.0,0.0,-0.1923828125,0.1923828125,50.22011927252698,2025-03-31,50,14,2025-09-30,2025-09-30,58.75,0.16984613304499163,0.10023407641113335,0.06961205663385828,6
TOP.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,23.486331939697266,18654961375.0,2233835566.0,0.06,145312506520.0,0.0,-0.1762981414794922,0.1762981414794922,23.487200483969602,2025-03-31,50,14,2025-09-30,2025-09-30,34.61199188232422,0.4737078557517127,0.10023407641113335,0.37347377934057935,6
BTS.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,5.150000095367432,13733870000.0,13774000000.0,0.06,144773574000.0,0.0,-0.1020660400390625,0.1020660400390625,5.149452258926445,2025-03-31,50,14,2025-09-30,2025-09-30,3.059999942779541,-0.4058252648321121,0.10023407641113335,-0.5060593412432455,6
CCET.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,5.675703048706055,4272779783.0,10450002831.0,0.06,13180767046.0,0.0,-0.087005615234375,0.087005615234375,5.674855885867539,2025-03-31,50,14,2025-09-30,2025-09-30,5.400201797485352,-0.04854046253944022,0.10023407641113335,-0.14877453895057358,6
SAWAD.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,23.99768447875977,5659323000.0,1661510744.0,0.06,62869830000.0,0.0,-0.07360458374023438,0.07360458374023438,23.99698082445738,2025-03-31,50,14,2025-09-30,2025-09-30,29.649999618530277,0.23553585533526555,0.10023407641113335,0.1353017789241322,6
PTT.BK,2025-03-31,2024-12-31,2025-02-14,quarterly,fixed,True,45,29.897314071655277,72567292628.0,28562996250.0,0.06,701057067827.0,0.0,-0.04024505615234375,0.04024505615234375,29.89786997307822,2025-03-31,50,14,2025-09-30,2025-09-30,31.06517601013184,0.03906243670175624,0.10023407641113335,-0.06117163970937711,6
