Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
TTB.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,1.3124414682388306,46553409000.0,97094000000.0,0.06,128908496000.0,0.0,-0.291717529296875,0.291717529296875,1.3127899820432183,2023-06-30,50,20,2024-06-30,2024-06-28,1.538020133972168,0.1718771245745856,-0.13448208231767111,0.3063592068922567,12
IVL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,31.46158599853516,49420150000.0,5614552000.0,0.06,233102181000.0,0.0,-0.22072982788085938,0.22072982788085938,31.460817066112394,2023-06-30,50,20,2024-06-30,2024-06-28,18.51065826416016,-0.41164255784746484,-0.13448208231767111,-0.2771604755297937,12
BBL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,141.1476593017578,70786130000.0,1908843000.0,0.06,366617301000.0,0.0,-0.20635104179382324,0.20635104179382324,141.14769162163466,2023-06-30,50,20,2024-06-30,2024-06-28,121.15010833740234,-0.14167823301697802,-0.13448208231767111,-0.007196150699306902,12
MINT.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,32.4779167175293,25119683220.0,5314000000.0,0.06,185830843779.0,0.0,-0.12058830261230469,0.12058830261230469,32.477281201639094,2023-06-30,50,20,2024-06-30,2024-06-28,28.942352294921875,-0.1088605668078203,-0.13448208231767111,0.025621515509850812,12
ADVANC.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,179.8204803466797,38046594290.0,2974000000.0,0.06,119401689939.0,0.0,-0.0843505859375,0.0843505859375,179.81980625104146,2023-06-30,50,20,2024-06-30,2024-06-28,182.78274536132807,0.016473457355565824,-0.13448208231767111,0.15095553967323694,12
SCGP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,34.39126205444336,10048042000.0,4296744444.0,0.06,40203034000.0,0.0,-0.06763076782226562,0.06763076782226562,34.39094262975842,2023-06-30,50,20,2024-06-30,2024-06-28,31.68329429626465,-0.07873999371967921,-0.13448208231767111,0.0557420885979919,12
TOP.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,37.85417938232422,11142603471.0,2090000000.0,0.06,155444425356.0,0.0,-0.04386711120605469,0.04386711120605469,37.854313449043765,2023-06-30,50,20,2024-06-30,2024-06-28,48.232757568359375,0.2741725842531768,-0.13448208231767111,0.4086546665708479,12
EGCO.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,110.20204162597656,6318215000.0,526465000.0,0.06,77952903000.0,0.0,-0.03937530517578125,0.03937530517578125,110.202575040298,2023-06-30,50,20,2024-06-30,2024-06-28,92.08483123779295,-0.1643999523137062,-0.13448208231767111,-0.029917869996035074,12
CPALL.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,59.8089599609375,39616981354.0,8983000000.0,0.06,375458052407.0,0.0,-0.025402069091796875,0.025402069091796875,59.80838258056214,2023-06-30,50,20,2024-06-30,2024-06-28,53.55121994018555,-0.10462880519639561,-0.13448208231767111,0.0298532771212755,12
BJC.BK,2023-06-30,2022-12-31,2023-02-14,annual,fixed,True,136,32.38924026489258,12572607944.0,4007797000.0,0.06,160517182412.0,0.0,-0.024921417236328125,0.024921417236328125,32.39020049904175,2023-06-30,50,20,2024-06-30,2024-06-28,20.474443435668945,-0.3678628066536759,-0.13448208231767111,-0.23338072433600476,12
