Horizon_Months,Portfolio_Return,Benchmark_Return,Active_Return,Hit_Rate,Observations,Avg_Turnover,Avg_Universe_Count,Avg_Excluded_Count,Case_Name,Top_N,Stop_Loss_Pct
3,0.019323493039762902,0.00021748368410908213,0.01910600935565382,65.0,20,0.725,100.0,48.7,baseline,10,0.0
6,0.020760859837452454,0.000834697836101811,0.019926162001350643,55.00000000000001,20,0.725,100.0,48.7,baseline,10,0.0
12,0.019816645125065903,-0.00652341691141628,0.026340062036482176,40.0,20,0.725,100.0,48.7,baseline,10,0.0
