Ticker,Price_Row_Count,Has_Prices
ADVANC.BK,2428,True
AOT.BK,2428,True
AWC.BK,1575,True
BANPU.BK,2428,True
BBL.BK,2428,True
BDMS.BK,2428,True
BEM.BK,2428,True
BGRIM.BK,2120,True
BH.BK,2428,True
BJC.BK,2428,True
BTS.BK,2428,True
CBG.BK,2428,True
CCET.BK,2428,True
CENTEL.BK,2428,True
COM7.BK,2428,True
CPALL.BK,2428,True
CPF.BK,2428,True
CPN.BK,2428,True
DELTA.BK,2428,True
EA.BK,2428,True
EGCO.BK,2428,True
GLOBAL.BK,2428,True
GPSC.BK,2428,True
GULF.BK,246,True
HMPRO.BK,2428,True
IVL.BK,2428,True
KBANK.BK,2428,True
KCE.BK,2428,True
KKP.BK,2428,True
KTB.BK,2428,True
KTC.BK,2428,True
LH.BK,2428,True
MINT.BK,2428,True
OR.BK,1250,True
OSP.BK,1815,True
PTT.BK,2428,True
RATCH.BK,2428,True
SAWAD.BK,2428,True
SCB.BK,962,True
SCC.BK,2428,True
SCGP.BK,1324,True
TCAP.BK,2428,True
TIDLOR.BK,221,True
TISCO.BK,2428,True
TLI.BK,903,True
TOP.BK,2428,True
TRUE.BK,2428,True
TTB.BK,2428,True
TU.BK,2428,True
VGI.BK,2428,True
