Rebalance_Date,Horizon_Months,Case_Name,Top_N,Top_N_Requested,Stop_Loss_Pct,Portfolio_Return,Benchmark_Return,Active_Return,Hit,Universe_Count,Eligible_Count,Excluded_Count,Turnover
2021-06-30,3,damodaran,5,5,0.0,-0.08912160041973538,0.01126724202086593,-0.10038884244060131,False,100,47,53,0.0
2021-06-30,6,damodaran,5,5,0.0,-0.02511340932961357,0.04397933878960347,-0.06909274811921703,False,100,47,53,0.0
2021-06-30,12,damodaran,5,5,0.0,-0.10528355278790388,-0.01225608079724605,-0.09302747199065783,False,100,47,53,0.0
2021-09-30,3,damodaran,5,5,0.0,-0.0037805279602989516,0.0323476282128623,-0.03612815617316125,False,100,43,57,0.8
2021-09-30,6,damodaran,5,5,0.0,-0.00025430482228117057,0.057744985054050346,-0.05799928987633152,False,100,43,57,0.8
2021-09-30,12,damodaran,5,5,0.0,-0.10504958542794751,-0.010070526757769316,-0.0949790586701782,False,100,43,57,0.8
2022-01-04,3,damodaran,5,5,0.0,0.04515355587694325,0.019547635032077126,0.025605920844866126,True,100,40,60,0.4
2022-01-04,6,damodaran,5,5,0.0,0.021161872417292928,-0.06586321325528577,0.08702508567257869,True,100,40,60,0.4
2022-01-04,12,damodaran,5,5,0.0,0.009232954130135052,0.0017781274103931821,0.00745482671974187,True,100,40,60,0.4
2022-03-31,3,damodaran,5,5,0.0,-0.17043804418759728,-0.07486257692761344,-0.09557546725998384,False,100,41,59,0.8
2022-03-31,6,damodaran,5,5,0.0,-0.19128766266883881,-0.062368738985523975,-0.12891892368331484,False,100,41,59,0.8
2022-03-31,12,damodaran,5,5,0.0,-0.13455047933033523,-0.05077154077586554,-0.08377893855446969,False,100,41,59,0.8
2022-06-30,3,damodaran,5,5,0.0,-0.013200579567048832,0.013504845475386107,-0.02670542504243494,False,100,41,59,1.0
2022-06-30,6,damodaran,5,5,0.0,0.06449359727686226,0.06397255739308316,0.0005210398837790925,True,100,41,59,1.0
2022-06-30,12,damodaran,5,5,0.0,-0.07342763075075784,-0.04159200059714696,-0.03183563015361088,False,100,41,59,1.0
2022-09-30,3,damodaran,5,5,0.0,0.07080095514361721,0.049795234964096435,0.02100572017952078,True,100,41,59,1.0
2022-09-30,6,damodaran,5,5,0.0,-0.04926666271655502,0.010009395399802168,-0.05927605811635719,False,100,41,59,1.0
2022-09-30,12,damodaran,5,5,0.0,-0.12210448949498465,-0.07428701633159174,-0.04781747316339291,False,100,41,59,1.0
2023-01-03,3,damodaran,5,5,0.0,-0.05157103202502624,-0.04681440225701061,-0.004756629768015629,False,100,36,64,0.8
2023-01-03,6,damodaran,5,5,0.0,-0.08742520249849146,-0.10252119328300269,0.015095990784511223,True,100,36,64,0.8
2023-01-03,12,damodaran,5,5,0.0,-0.1785055115247384,-0.14851366012312528,-0.029991851401613118,False,100,36,64,0.8
2023-03-31,3,damodaran,5,5,0.0,-0.028966036276498852,-0.06591600978310264,0.036949973506603784,True,100,54,46,1.0
2023-03-31,6,damodaran,5,5,0.0,-0.01659616983029404,-0.08559691423080962,0.06900074440051558,True,100,54,46,1.0
2023-03-31,12,damodaran,5,5,0.0,-0.09007692660730104,-0.14369525670024275,0.0536183300929417,True,100,54,46,1.0
2023-06-30,3,damodaran,5,5,0.0,-0.010476487174105497,-0.021069737468829675,0.010593250294724178,True,100,57,43,0.6
2023-06-30,6,damodaran,5,5,0.0,0.052620442823967536,-0.05804670442229787,0.1106671472462654,True,100,57,43,0.6
2023-06-30,12,damodaran,5,5,0.0,0.03439006549736312,-0.13448208231767111,0.16887214781503423,True,100,57,43,0.6
2023-10-02,3,damodaran,5,5,0.0,0.004185619168710275,-0.036482780597410724,0.040668399766121,True,100,56,44,0.6
2023-10-02,6,damodaran,5,5,0.0,0.107604858980513,-0.061246990317845085,0.1688518492983581,True,100,56,44,0.6
2023-10-02,12,damodaran,5,5,0.0,0.13723419939636877,-0.012290186193243069,0.14952438558961184,True,100,56,44,0.6
2024-01-03,3,damodaran,5,5,0.0,-0.07114252833762409,-0.037723348788582634,-0.03341917954904146,False,100,58,42,0.6
2024-01-03,6,damodaran,5,5,0.0,-0.12541585307431274,-0.0943747600104411,-0.03104109306387165,False,100,58,42,0.6
