Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Losing_Buy_Rounds,Buy_Ban_Active,Rebalance_Date,Universe_Count,Eligible_Count,Excluded_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct,Target_End_Date,End_Date,End_Price_Date,End_Price,Exit_Reason,Stop_Loss_Hit,Stop_Loss_Trigger_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
ASAP.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,3.299999952316284,3077595528.0,725999972.0,0.08,6273882406.0,0.0,-0.294281005859375,0.294281005859375,3.2993434582413736,2,False,2024-01-03,100,7,93,baseline,10,0.0,2024-07-03,2024-07-03,2024-07-03,2.240000009536743,horizon_end,False,0.0,-0.3212121085139782,-0.0943747600104411,-0.2268373485035371,6
KBS.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,4.1462907791137695,1525239117.0,600000000.0,0.08,3922923516.0,0.0,-0.225250244140625,0.225250244140625,4.146717547538087,2,False,2024-01-03,100,7,93,baseline,10,0.0,2024-07-03,2024-07-03,2024-07-03,4.150292873382568,horizon_end,False,0.0,0.0009652227694589843,-0.0943747600104411,0.09533998277990008,6
ITD.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,0.9200000166893004,5264823000.0,5279869000.0,0.08,41305876000.0,0.0,-0.10211181640625,0.10211181640625,0.9206168313610263,2,False,2024-01-03,100,7,93,baseline,10,0.0,2024-07-03,2024-07-03,2024-07-03,0.6399999856948853,horizon_end,False,0.0,-0.3043478542555026,-0.0943747600104411,-0.2099730942450615,6
JAS.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,2.1600000858306885,7710376879.0,8593000000.0,0.08,57138395473.0,0.0,-0.083251953125,0.083251953125,2.159967328085348,1,False,2024-01-03,100,7,93,baseline,10,0.0,2024-07-03,2024-07-03,2024-07-03,3.0,horizon_end,False,0.0,0.3888888336994052,-0.0943747600104411,0.4832635937098463,6
MEGA.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,37.46309661865234,1683881000.0,871870000.0,0.08,-2032594000.0,0.0,0.020854949951171875,-0.020854949951171875,37.46402889503008,2,False,2024-01-03,100,7,93,baseline,10,0.0,2024-07-03,2024-07-03,2024-07-03,34.090904235839844,horizon_end,False,0.0,-0.09001371181723206,-0.0943747600104411,0.004361048193209038,6
ASIAN.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,5.646083831787109,186379816.0,815670513.0,0.08,-965028858.0,0.0,0.03302001953125,-0.03302001953125,5.64518836536931,2,False,2024-01-03,100,7,93,baseline,10,0.0,2024-07-03,2024-07-03,2024-07-03,8.203413963317871,horizon_end,False,0.0,0.45293874616829966,-0.0943747600104411,0.5473135061787407,6
AKR.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,0.7340806722640991,52451631.0,1471532856.0,0.08,239787774.0,0.0,0.0771484375,-0.0771484375,0.7349933507597026,2,False,2024-01-03,100,7,93,baseline,10,0.0,2024-07-03,2024-07-03,2024-07-03,0.8189188838005066,horizon_end,False,0.0,0.11557069235284989,-0.0943747600104411,0.20994545236329099,6
