Ticker,Ban_Rebalance_Date,Triggered_By_Exit_Date,Triggered_By_Return,Losing_Buy_Rounds,Max_Losing_Buy_Rounds,Case_Name,Top_N,Stop_Loss_Pct
BBL.BK,2024-04-01,2024-07-01,-0.02688660450348279,3,2,baseline,5,0.0
MINT.BK,2024-04-01,2024-07-01,-0.08965730441929187,3,2,baseline,5,0.0
