Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
TTB.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,1.4479193687438965,46553409000.0,97094000000.0,0.08,128908496000.0,0.0,-0.213623046875,0.213623046875,1.4469271671396697,2023-10-02,50,20,2024-10-02,2024-10-02,1.7358940839767456,0.19888864079681023,-0.012290186193243069,0.2111788269900533,12
IVL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,24.08738136291504,49420150000.0,5614552000.0,0.08,233102181000.0,0.0,-0.1647510528564453,0.1647510528564453,24.0868660893372,2023-10-02,50,20,2024-10-02,2024-10-02,23.37623405456543,-0.029523645498654827,-0.012290186193243069,-0.017233459305411758,12
BBL.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,149.57601928710938,70786130000.0,1908843000.0,0.08,366617301000.0,0.0,-0.12277841567993164,0.12277841567993164,149.5762060955731,2023-10-02,50,20,2024-10-02,2024-10-02,142.66920471191406,-0.046175948578613846,-0.012290186193243069,-0.03388576238537078,12
MINT.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,30.09478759765625,25119683220.0,5314000000.0,0.08,185830843779.0,0.0,-0.04025077819824219,0.04025077819824219,30.095398952606327,2023-10-02,50,20,2024-10-02,2024-10-02,28.23908233642578,-0.06166201556361839,-0.012290186193243069,-0.04937182937037532,12
ADVANC.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,195.08372497558597,38046594290.0,2974000000.0,0.08,119401689939.0,0.0,0.022046566009521484,-0.022046566009521484,195.08405909165091,2023-10-02,50,20,2024-10-02,2024-10-02,236.537841796875,0.21249397829817362,-0.012290186193243069,0.2247841644914167,12
SCGP.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,35.539451599121094,10048042000.0,4296744444.0,0.08,40203034000.0,0.0,0.031543731689453125,-0.031543731689453125,35.53854670946683,2023-10-02,50,20,2024-10-02,2024-10-02,28.19171142578125,-0.2067488338374236,-0.012290186193243069,-0.19445864764418053,12
EGCO.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,102.14225006103516,6318215000.0,526465000.0,0.08,77952903000.0,0.0,0.04986715316772461,-0.04986715316772461,102.14268115948988,2023-10-02,50,20,2024-10-02,2024-10-02,112.35540771484376,0.09998955033500567,-0.012290186193243069,0.11227973652824874,12
BJC.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,28.081430435180664,12572607944.0,4007797000.0,0.08,160517182412.0,0.0,0.05902671813964844,-0.05902671813964844,28.080797403699613,2023-10-02,50,20,2024-10-02,2024-10-02,24.43208312988281,-0.1299558907343239,-0.012290186193243069,-0.11766570454108083,12
TOP.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,42.91169357299805,11142603471.0,2090000000.0,0.08,155444425356.0,0.0,0.061916351318359375,-0.061916351318359375,42.91168855678504,2023-10-02,50,20,2024-10-02,2024-10-02,47.027442932128906,0.09591207003120172,-0.012290186193243069,0.10820225622444479,12
RATCH.BK,2023-10-02,2022-12-31,2023-02-14,annual,fixed,True,230,26.89949607849121,5118758527.0,1833356000.0,0.08,64633962964.0,0.0,0.06458282470703125,-0.06458282470703125,26.899003482037827,2023-10-02,50,20,2024-10-02,2024-10-02,29.087953567504883,0.08135682105820408,-0.012290186193243069,0.09364700725144715,12
