Rebalance_Date,Horizon_Months,Case_Name,Top_N,Top_N_Requested,Stop_Loss_Pct,Portfolio_Return,Benchmark_Return,Active_Return,Hit,Universe_Count,Eligible_Count,Excluded_Count,Turnover
2023-03-31,3,baseline,5,5,0.0,0.05970416734559909,-0.06591600978310264,0.12562017712870172,True,50,30,20,0.0
2023-06-30,3,baseline,5,5,0.0,-0.011534974981136736,-0.021069737468829675,0.009534762487692939,True,50,30,20,0.0
2023-10-02,3,baseline,5,5,0.0,-0.021991173661668563,-0.036482780597410724,0.014491606935742161,True,50,30,20,0.0
2024-01-03,3,baseline,5,5,0.0,0.007302482344468042,-0.037723348788582634,0.04502583113305068,True,50,31,19,0.19999999999999996
2024-04-01,3,baseline,5,5,0.0,0.04642983124270674,-0.05808710964807495,0.1045169408907817,True,50,34,16,0.4
2024-07-01,3,baseline,5,5,0.0,0.11613783212317035,0.12722519852221037,-0.011087366399040025,False,50,31,19,0.4
2024-09-30,3,baseline,5,5,0.0,0.23887702919151899,-0.03355811005563736,0.27243513924715634,True,50,31,19,0.0
2025-01-02,3,baseline,5,5,0.0,-0.13606579441977912,-0.15013228817989388,0.014066493760114762,True,50,7,43,1.0
2025-03-31,3,baseline,5,5,0.0,-0.03940312252309621,-0.059174942577125744,0.019771820054029533,True,50,34,16,1.0
2025-06-30,3,baseline,5,5,0.0,0.44932282893993813,0.16943534584943487,0.27988748309050326,True,50,34,16,0.8
2025-09-30,3,baseline,5,5,0.0,0.04750845484186643,-0.011379956756087717,0.058888411597954146,True,50,39,11,0.8
2026-01-05,3,baseline,5,5,0.0,0.10474859886408183,0.13589308584545168,-0.031144486981369846,False,50,31,19,0.8
2026-03-31,3,baseline,5,5,0.0,-0.0010276807916935083,0.0405347207991662,-0.04156240159085971,False,50,35,15,0.8
