Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Losing_Buy_Rounds,Buy_Ban_Active,Rebalance_Date,Universe_Count,Eligible_Count,Excluded_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct,Target_End_Date,End_Date,End_Price_Date,End_Price,Exit_Reason,Stop_Loss_Hit,Stop_Loss_Trigger_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
TIDLOR.BK,2025-09-30,2025-06-30,2025-08-14,quarterly,fixed,True,47,19.339893341064453,1331089419.0,2895935.0,0.08,70047903000.0,1065233.2761443988,0.27198680490255356,1065233.004157594,19.34034313140408,0,False,2025-09-30,50,39,11,baseline,5,0.0,2025-12-30,2025-12-30,2025-12-30,17.0,horizon_end,False,0.0,-0.12098791341812365,-0.011379956756087717,-0.10960795666203593,3
TTB.BK,2025-09-30,2025-06-30,2025-08-14,quarterly,fixed,True,47,1.8343455791473389,22314860000.0,96391000000.0,0.08,-103537124000.0,-0.010179706377413,-0.319091796875,0.308912090497587,1.834679237698292,0,False,2025-09-30,50,39,11,baseline,5,0.0,2025-12-30,2025-12-30,2025-12-30,2.0199999809265137,horizon_end,False,0.0,0.10121015575782222,-0.011379956756087717,0.11259011251390993,3
KBANK.BK,2025-09-30,2025-06-30,2025-08-14,quarterly,fixed,True,47,167.5,32597691000.0,2369328000.0,0.08,-160730805000.0,0.0601548659728954,-0.170318603515625,0.2304734694885204,167.5002919179417,0,False,2025-09-30,50,39,11,baseline,5,0.0,2025-12-30,2025-12-30,2025-12-30,194.5,horizon_end,False,0.0,0.16119402985074638,-0.011379956756087717,0.1725739866068341,3
TLI.BK,2025-09-30,2025-06-30,2025-08-14,quarterly,fixed,True,47,10.600000381469728,12102188000.0,11390006250.0,0.08,-10487669000.0,0.0771230378558198,-0.1250457763671875,0.2021688142230073,10.599410076775445,0,False,2025-09-30,50,39,11,baseline,5,0.0,2025-12-30,2025-12-30,2025-12-30,9.949999809265137,horizon_end,False,0.0,-0.06132080649175098,-0.011379956756087717,-0.04994084973566326,3
KKP.BK,2025-09-30,2025-06-30,2025-08-14,quarterly,fixed,True,47,58.75,10009567000.0,829060000.0,0.08,31326600000.0,-0.0213144704829465,-0.15094947814941406,0.12963500766646757,58.74929768201289,1,False,2025-09-30,50,39,11,baseline,5,0.0,2025-12-30,2025-12-30,2025-12-30,68.0,horizon_end,False,0.0,0.1574468085106382,-0.011379956756087717,0.1688267652667259,3
