Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count,End_Date,End_Price_Date,End_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
AOT.BK,2024-01-03,2023-09-30,2023-11-14,annual,fixed,True,50,60.778076171875,5269658894.0,14285700000.0,0.08,55384119007.0,1.907056030363309,0.6129150390625,1.294140991300809,60.77770516510803,2024-01-03,50,19,2024-04-03,2024-04-03,63.45230865478516,0.04399995280119873,-0.037723348788582634,0.08172330158978136,3
TTB.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,1.4481759071350098,46553409000.0,97094000000.0,0.08,128908496000.0,0.0,-0.213531494140625,0.213531494140625,1.4482595751854068,2024-01-03,50,19,2024-04-03,2024-04-03,1.5703109502792358,0.08433715996964164,-0.037723348788582634,0.12206050875822427,3
IVL.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,26.19709205627441,49420150000.0,5614552000.0,0.08,233102181000.0,0.0,-0.15854263305664062,0.15854263305664062,26.197869024480863,2024-01-03,50,19,2024-04-03,2024-04-03,23.624164581298828,-0.09821423955943787,-0.037723348788582634,-0.06049089077085523,3
BBL.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,138.38023376464844,70786130000.0,1908843000.0,0.08,366617301000.0,0.0,-0.12944459915161133,0.12944459915161133,138.3811429337854,2024-01-03,50,19,2024-04-03,2024-04-03,122.70608520507812,-0.11326869548600615,-0.037723348788582634,-0.07554534669742352,3
MINT.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,27.945158004760746,25119683220.0,5314000000.0,0.08,185830843779.0,0.0,-0.04732322692871094,0.04732322692871094,27.945046342658866,2024-01-03,50,19,2024-04-03,2024-04-03,31.289026260375977,0.11965823399694386,-0.037723348788582634,0.1573815827855265,3
ADVANC.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,187.38302612304688,38046594290.0,2974000000.0,0.08,119401689939.0,0.0,0.014758110046386719,-0.014758110046386719,187.38302209198233,2024-01-03,50,19,2024-04-03,2024-04-03,178.40994262695312,-0.04788631970433377,-0.037723348788582634,-0.010162970915751135,3
SCGP.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,34.14574432373047,10048042000.0,4296744444.0,0.08,40203034000.0,0.0,0.02459716796875,-0.02459716796875,34.145190909062435,2024-01-03,50,19,2024-04-03,2024-04-03,27.928237915039062,-0.18208730053573297,-0.037723348788582634,-0.14436395174715033,3
BJC.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,24.80526351928711,12572607944.0,4007797000.0,0.08,160517182412.0,0.0,0.0479888916015625,-0.0479888916015625,24.80457047285254,2024-01-03,50,19,2024-04-03,2024-04-03,23.120376586914062,-0.06792457298681698,-0.037723348788582634,-0.030201224198234344,3
CPALL.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,53.34959411621094,39616981354.0,8983000000.0,0.08,375458052407.0,0.0,0.05752754211425781,-0.05752754211425781,53.35016693616432,2024-01-03,50,19,2024-04-03,2024-04-03,52.63188552856445,-0.013452934357534363,-0.037723348788582634,0.02427041443104827,3
EGCO.BK,2024-01-03,2022-12-31,2023-02-14,annual,fixed,True,323,112.96240234375,6318215000.0,526465000.0,0.08,77952903000.0,0.0,0.059355735778808594,-0.059355735778808594,112.96250373171013,2024-01-03,50,19,2024-04-03,2024-04-03,100.5370635986328,-0.10999534789731458,-0.037723348788582634,-0.07227199910873194,3
