Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Losing_Buy_Rounds,Buy_Ban_Active,Rebalance_Date,Universe_Count,Eligible_Count,Excluded_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct,Target_End_Date,End_Date,End_Price_Date,End_Price,Exit_Reason,Stop_Loss_Hit,Stop_Loss_Trigger_Price,Forward_Return,Benchmark_Return,Active_Return,Horizon_Months
BBL.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,172.0,171583467000.0,1908843000.0,0.1,483543255000.0,0.1258869986045545,-0.1655592918395996,0.2914462904441541,172.000667817004,0,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,165.5,horizon_end,False,0.0,-0.03779069767441856,0.13589308584545168,-0.17368378351987024,3
THANI.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,1.5748186111450195,2219000000.0,6229329000.0,0.1,26479910000.0,0.2481485919712402,0.05755615234375,0.1905924396274902,1.5754726557236596,2,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,1.6100000143051147,horizon_end,False,0.0,0.02233997167109636,0.13589308584545168,-0.11355311417435532,3
NOBLE.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,2.180000066757202,341507000.0,1369414000.0,0.1,13105235000.0,0.4082859170017112,0.25640869140625,0.15187722559546118,2.180739727914714,0,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,2.0,horizon_end,False,0.0,-0.08256883543354943,0.13589308584545168,-0.2184619212790011,3
BAY.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,26.25,40744450000.0,7355761773.0,0.1,309386906000.0,0.1509972539384303,0.006478309631347656,0.14451894430708265,26.24992853103158,0,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,26.0,horizon_end,False,0.0,-0.00952380952380949,0.13589308584545168,-0.14541689536926117,3
HANA.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,15.805059432983398,1445930000.0,885367000.0,0.1,-5407999000.0,0.0183890226732421,-0.124542236328125,0.1429312590013671,15.805243435822192,1,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,25.0,horizon_end,False,0.0,0.5817719702988136,0.13589308584545168,0.4458788844533619,3
KTB.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,26.92304992675781,72096003000.0,13923904762.0,0.1,362646616000.0,0.10629169145971,-0.027090072631835938,0.13338176409154595,26.923207564274534,1,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,33.0099983215332,horizon_end,False,0.0,0.22608688136501964,0.13589308584545168,0.09019379551956797,3
XPG.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,0.4308333396911621,222080000.0,10700000000.0,0.1,-234106393.0,0.2173699705593719,0.091796875,0.1255730955593719,0.43130190780780986,1,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,0.4799999892711639,horizon_end,False,0.0,0.11411988128691797,0.13589308584545168,-0.02177320455853371,3
TTB.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,2.059999942779541,44121117000.0,96211000000.0,0.1,102887828000.0,0.0203524447753784,-0.09954833984375,0.1199007846191284,2.0603422366474584,0,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,2.319999933242798,horizon_end,False,0.0,0.12621359110934782,0.13589308584545168,-0.009679494736103855,3
BCPG.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,6.482467174530029,400390000.0,2907688000.0,0.1,5748058784.0,0.4098045498237743,0.3088226318359375,0.10098191798783679,6.4819105602339375,1,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,6.650000095367432,horizon_end,False,0.0,0.025844006043817425,0.13589308584545168,-0.11004907980163425,3
PTTGC.BK,2026-01-05,2025-09-30,2025-11-14,quarterly,fixed,True,52,20.709259033203125,35343000000.0,4508850000.0,0.1,148660775789.0,-0.0472736237384112,-0.09893035888671875,0.05165673514830755,20.710243397889304,2,False,2026-01-05,100,62,38,baseline,10,0.0,2026-04-05,2026-04-03,2026-04-03,35.25,horizon_end,False,0.0,0.7021371910739891,0.13589308584545168,0.5662441052285374,3
