Ticker,Company_Name,Sector,Industry,Current_Price,Market_Cap,EPS,PE_Ratio,PB_Ratio,EV_EBITDA,Revenue,Revenue_Growth,EBIT,FCF,Total_Debt,Total_Cash,Debt_to_Equity,Current_Ratio,Profit_Margin,Operating_Margin,ROE,ROA,Beta,Cost_of_Equity,Cost_of_Debt,WACC,Dividend_Yield,Payout_Ratio,Earnings_Growth,Fetched_Date
ADVANC.BK,Advanced Info Service Public Company Limited,Communication Services,Telecom Services,363.0,1079638163456,16.12,22.51861,10.07354,12.282,226263821386.0,0.05,65425895724.0,73674265836.0,192277954560,25969330176,179.229,0.516,0.21164,0.29023,0.46813,0.09354,0.123,0.04238,0.04099793976922156,0.04093152420182663,4.63,0.78449994,0.543,2026-04-11 06:17:14
AOT.BK,Airports of Thailand Public Company Limited,Industrials,Airports & Air Services,54.0,771427794944,1.23,43.90244,5.6926,25.391,66679386770.0,-0.046,25856390253.0,19814444114.0,45198434304,21188022272,32.854,1.788,0.26466,0.36768,0.13235,0.07111,0.172,0.04532,0.055651849997321534,0.045275803704847295,1.5,0.65849996,-0.108,2026-04-11 06:17:15
AWC.BK,Asset World Corp Public Company Limited,Consumer Cyclical,Lodging,2.22,71098925056,0.2,11.1,0.7422267,26.448,17356237140.0,0.131,9626917316.0,-1728260777.0,90289750016,378800608,94.309,0.059,0.36543998,0.26203,0.06813,0.01356,0.365,0.056900000000000006,0.01974621703664104,0.03390469395231892,3.6,0.3763,0.002,2026-04-11 06:17:16
BANPU.BK,Banpu Public Company Limited,Energy,Thermal Coal,5.85,58610581504,-0.19,0,0.5149676,67.56,5278102000.0,0.022,364649000.0,-121642000.0,7498835968,1971304960,153.247,1.19,-0.01164,0.07,0.0064,0.016490001,0.433,0.060980000000000006,0.04552759941101301,0.05819437845967048,6.15,1.3500999,0.0,2026-04-11 06:17:17
BBL.BK,Bangkok Bank Public Company Limited,Financial Services,Banks - Regional,166.0,316867903488,24.1,6.8879666,0.5521095,0.0,190980693000.0,-0.08,0.0,115419505000.0,309876457472,159571935232,0.0,0.0,0.32319,0.27344,0.081879996,0.01013,0.216,0.04796,0.18314072796294292,0.09668660529863458,9.94,0.3527,-0.254,2026-04-11 06:17:18
BDMS.BK,Bangkok Dusit Medical Services Public Company Limited,Healthcare,Medical Care Facilities,18.6,295591247872,1.0,18.6,2.7915354,11.672,111507275082.0,0.043,20419085065.0,12023201450.0,17487003648,7241904640,15.896,0.978,0.13999,0.15983,0.15302,0.08144,0.365,0.056900000000000006,0.02039013859534365,0.05463296113120187,4.3,0.75,-0.148,2026-04-11 06:17:19
BEM.BK,Bangkok Expressway and Metro Public Company Limited,Industrials,Railroads,5.3,79382749184,0.25,21.2,2.145749,20.936,16915820126.0,-0.006,6841955624.0,-20704968366.0,112428621824,2333364992,303.834,0.582,0.22351,0.36903,0.102790006,0.029260002,0.372,0.05732,0.02003938110641373,0.03311909585882647,2.83,0.6,-0.101,2026-04-11 06:17:20
BGRIM.BK,B.Grimm Power Public Company Limited,Utilities,Utilities - Independent Power Producers,11.9,31022108672,0.29,41.03448,1.7695167,11.267,55387523000.0,-0.007,8629869357.0,14613762360.0,121270542336,24172210176,245.686,1.724,0.030250002,0.13846,0.06437,0.0257,1.039,0.09734,0.038396150543294295,0.04428808359096839,3.46,1.4828,-0.331,2026-04-11 06:17:21
BH.BK,Bumrungrad Hospital Public Company Limited,Healthcare,Medical Care Facilities,172.5,137131737088,8.66,19.919168,4.443357,12.323,25215051097.0,0.006,9307632225.0,6156105978.0,106583208,13948432384,0.342,4.597,0.29517,0.34632,0.25652,0.16452,0.173,0.045380000000000004,0.06218418571150532,0.04538339180791456,2.9,0.5774,-0.009,2026-04-11 06:17:23
BJC.BK,Berli Jucker Public Company Limited,Industrials,Conglomerates,15.1,60517732352,1.0,15.1,0.50294775,11.831,154020370608.0,-0.023,11867697371.0,10775121733.0,160022183936,4409828864,126.383,0.624,0.02567,0.07624,0.03887,0.02175,0.314,0.05384,0.033916541991269526,0.034461761546634,3.38,0.71,-0.214,2026-04-11 06:17:24
