Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2016-04-11,CBG.BK,39.25,39.25,38.5,39.0,32.72279357910156,361800.0
2016-04-12,CBG.BK,38.75,39.25,38.75,39.25,32.932559967041016,488000.0
2016-04-18,CBG.BK,39.75,40.75,39.0,39.25,32.932559967041016,1727700.0
2016-04-19,CBG.BK,39.25,41.25,39.25,41.25,34.61064910888672,1092500.0
2016-04-20,CBG.BK,41.25,42.75,41.0,41.5,34.82041549682617,2253600.0
2016-04-21,CBG.BK,42.0,42.0,41.25,41.25,34.61064910888672,682500.0
2016-04-22,CBG.BK,41.25,41.25,40.0,40.0,33.56184005737305,794400.0
2016-04-25,CBG.BK,39.75,40.5,39.75,40.0,33.56184005737305,222800.0
2016-04-26,CBG.BK,40.0,40.75,39.75,40.75,34.191131591796875,334400.0
2016-04-27,CBG.BK,41.0,41.0,39.5,40.0,33.56184005737305,499400.0
2016-04-28,CBG.BK,40.25,40.5,39.5,40.25,33.77159118652344,659700.0
2016-04-29,CBG.BK,40.75,40.75,39.5,40.0,33.56184005737305,546300.0
2016-05-03,CBG.BK,39.5,40.0,39.25,39.25,32.932559967041016,519800.0
2016-05-04,CBG.BK,39.25,39.5,39.0,39.0,32.72279357910156,858100.0
2016-05-09,CBG.BK,39.0,39.75,38.75,39.75,33.352081298828125,1109500.0
2016-05-10,CBG.BK,39.25,40.25,39.25,40.0,33.56184005737305,231700.0
2016-05-11,CBG.BK,39.5,41.0,39.5,40.25,33.77159118652344,837400.0
2016-05-12,CBG.BK,40.5,41.5,40.25,41.0,34.400882720947266,1840700.0
2016-05-13,CBG.BK,41.25,42.0,41.0,41.5,34.82041549682617,2098100.0
2016-05-16,CBG.BK,42.0,44.5,41.5,43.0,36.078975677490234,5364100.0
2016-05-17,CBG.BK,43.5,43.5,42.75,42.75,35.86922073364258,1098700.0
2016-05-18,CBG.BK,42.25,42.75,41.5,42.75,35.86922073364258,1224700.0
2016-05-19,CBG.BK,43.5,43.5,41.5,41.75,35.030174255371094,558500.0
2016-05-23,CBG.BK,42.25,42.25,40.75,41.25,34.61064910888672,732300.0
2016-05-24,CBG.BK,41.5,42.0,41.25,41.75,35.030174255371094,452000.0
2016-05-25,CBG.BK,42.0,42.75,41.5,41.5,34.82041549682617,613500.0
2016-05-26,CBG.BK,41.5,42.0,41.0,41.0,34.400882720947266,330600.0
2016-05-27,CBG.BK,41.0,42.5,40.5,41.0,34.400882720947266,573800.0
2016-05-30,CBG.BK,42.0,42.0,41.25,41.5,34.82041549682617,1038200.0
2016-05-31,CBG.BK,41.75,43.25,41.5,43.25,36.288734436035156,705200.0
2016-06-01,CBG.BK,43.25,43.25,42.5,42.5,35.65945053100586,325500.0
2016-06-02,CBG.BK,42.25,43.25,42.25,42.5,35.65945053100586,1190200.0
2016-06-03,CBG.BK,42.5,45.0,42.5,45.0,37.7570686340332,3770300.0
2016-06-06,CBG.BK,45.5,47.5,45.5,47.0,39.43515396118164,10053300.0
2016-06-07,CBG.BK,47.5,48.25,46.25,47.0,39.43515396118164,7440000.0
2016-06-08,CBG.BK,46.5,47.25,46.25,47.25,39.644927978515625,1290700.0
2016-06-09,CBG.BK,47.25,47.25,46.5,46.5,39.0156364440918,605400.0
2016-06-10,CBG.BK,47.0,47.25,45.75,47.0,39.43515396118164,1577400.0
2016-06-13,CBG.BK,46.75,47.75,46.25,47.5,39.85468292236328,1538700.0
2016-06-14,CBG.BK,47.5,48.25,47.0,48.25,40.483970642089844,1913400.0
2016-06-15,CBG.BK,48.25,50.5,48.25,50.25,42.16206359863281,12270900.0
2016-06-16,CBG.BK,49.5,51.25,49.5,51.0,42.79134750366211,5270100.0
2016-06-17,CBG.BK,51.0,53.5,50.75,53.25,44.67919921875,7096700.0
2016-06-20,CBG.BK,53.25,53.25,51.0,51.75,43.420631408691406,10404100.0
2016-06-21,CBG.BK,51.75,52.5,51.5,51.5,43.21086502075195,2424700.0
2016-06-22,CBG.BK,51.5,52.5,51.0,51.5,43.21086502075195,5812800.0
2016-06-23,CBG.BK,51.25,52.0,51.25,52.0,43.63039016723633,1674900.0
2016-06-24,CBG.BK,50.0,51.0,48.75,49.25,41.32301712036133,8081800.0
2016-06-27,CBG.BK,49.25,51.25,49.25,50.5,42.371826171875,5766600.0
2016-06-28,CBG.BK,51.0,51.0,50.0,50.0,41.95229721069336,3652400.0
2016-06-29,CBG.BK,50.25,53.0,50.25,53.0,44.469444274902344,12687500.0
2016-06-30,CBG.BK,53.5,53.75,51.75,52.75,44.25967025756836,6286900.0
2016-07-04,CBG.BK,52.75,52.75,51.25,51.75,43.420631408691406,3560900.0
2016-07-05,CBG.BK,51.5,51.75,49.25,49.5,41.532772064208984,5614900.0
2016-07-06,CBG.BK,49.25,51.25,49.25,50.5,42.371826171875,6282800.0
2016-07-07,CBG.BK,51.0,52.5,50.75,51.25,43.00110626220703,5620600.0
2016-07-08,CBG.BK,51.5,51.75,50.5,51.0,42.79134750366211,1671500.0
2016-07-11,CBG.BK,51.75,52.0,50.75,51.0,42.79134750366211,1892900.0
2016-07-12,CBG.BK,51.0,53.25,51.0,53.25,44.67919921875,5751900.0
2016-07-13,CBG.BK,55.0,55.75,54.0,54.75,45.93776321411133,6526500.0
2016-07-14,CBG.BK,54.75,56.5,53.75,56.25,47.19634246826172,6136200.0
2016-07-15,CBG.BK,57.0,57.75,56.25,57.5,48.24514389038086,6591600.0
2016-07-20,CBG.BK,58.0,58.0,56.5,56.75,47.615867614746094,2726500.0
2016-07-21,CBG.BK,57.0,59.75,57.0,57.0,47.825626373291016,4569600.0
2016-07-22,CBG.BK,57.25,59.5,57.25,59.5,49.9232292175293,3953700.0
2016-07-25,CBG.BK,59.25,61.5,58.75,61.25,51.39157485961914,4819300.0
2016-07-26,CBG.BK,61.25,63.75,61.0,62.75,52.6501350402832,10547000.0
2016-07-27,CBG.BK,63.0,65.0,62.25,64.0,53.69894790649414,8299400.0
