Ticker,Company_Name,Sector,Current_Price,Market_Cap_B,FCF_M,WACC,EPS,PE_Ratio,Actual_Revenue_Growth,Implied_Growth_Rate,Intrinsic_Value,Premium_Discount,Growth_Differential,ROE,Debt_to_Equity,Recommendation
RCL.BK,Regional Container Lines Public Company Limited,Industrials,31.25,25.898438656,2078.443825,0.0651661288280197,9.85,3.1725888,-0.061,-12.695693969726562,31.25001932584784,6.184271308384837e-05,-6.595693969726563,0.15659,29.964,UNDervalued - Buy
SPALI.BK,Supalai Public Company Limited,Real Estate,16.4,30.937847808,745.996885,0.0380162764017982,2.09,7.84689,-0.184,4.60205078125,16.400341738033067,0.002083768494309801,23.00205078125,0.07455,69.339,OVValued - Avoid
SPRC.BK,Star Petroleum Refining Public Company Limited,Energy,6.85,29.700929536,6009.679013,0.06213315668072,0.59,11.610169,-0.102,-27.70233154296875,6.849908827803722,-0.0013309809675621231,-17.50233154296875,0.06673,14.714,UNDervalued - Strong Buy
STPI.BK,STP&I Public Company Limited,Industrials,4.12,7.466562048,1030.773249,0.0792152133331855,0.11,37.454544,0.288,-10.31646728515625,4.120047620766144,0.0011558438384406955,-39.11646728515625,0.0251,39.843,UNDervalued - Strong Buy
THANI.BK,Ratchthani Leasing Public Company Limited,Financial Services,1.62,10.091512832,9826.391546,0.0145427175569588,0.18,9.0,0.14,-50.0,2.2310814012890825,37.72107415364705,-64.0,0.08367,186.06,UNRELIABLE - No Convergence
TR.BK,Thai Rayon Public Company Limited,Consumer Cyclical,26.25,5.292000256,199.976,0.0257479753390787,-0.74,0.0,-0.212,-15.482902526855469,26.249820480465957,-0.0006838839392120377,5.7170974731445305,-0.05722,12.038,OVValued - Reduce
TVO.BK,Thai Vegetable Oil Public Company Limited,Consumer Defensive,24.7,21.96994048,1234.400701,0.0480217975756752,2.46,10.04065,-0.006,-17.830657958984375,24.699443254894902,-0.0022540287655803404,-17.230657958984374,0.1926,0.081,UNDervalued - Strong Buy
BCH.BK,Bangkok Chain Hospital Public Company Limited,Healthcare,9.85,24.563419136,1553.256842,0.0519929696030728,0.53,18.584908,0.069,-15.4022216796875,9.850195064264561,0.0019803478635616045,-22.302221679687502,0.10099,6.13,UNDervalued - Strong Buy
BCPG.BK,BCPG Public Company Limited,Utilities,6.75,20.221376512,1781.948051,0.0502097319725518,0.29,23.275864,0.831,-8.43963623046875,6.750007478634803,0.00011079458968055178,-91.53963623046874,0.028770002,95.369,UNDervalued - Strong Buy
BRR.BK,Buriram Sugar Public Company Limited,Consumer Defensive,3.78,3.069739264,124.04433,0.0335161404755376,0.34,11.117647,-0.206,-10.94818115234375,3.7807644007246584,0.02022224139308637,9.65181884765625,0.07063,94.761,OVValued - Reduce
CHG.BK,Chularat Hospital Public Company Limited,Healthcare,1.4,15.400000512,985.484809,0.0431353008663085,0.08,17.5,0.147,-23.101806640625,1.4001407397649817,0.010052840355845305,-37.801806640625,0.1184,7.065,UNDervalued - Strong Buy
ERW.BK,The Erawan Group Public Company Limited,Consumer Cyclical,2.68,13.096971264,1328.97101,0.0389608158284646,0.17,15.764706,0.015,-22.1405029296875,2.6801978474284343,0.0073823667326111675,-23.6405029296875,0.09386,149.369,UNDervalued - Strong Buy
FPI.BK,Fortune Parts Industry Public Company Limited,Consumer Cyclical,1.61,2.43597824,250.636,0.0406887009193641,0.18,8.944444,0.113,-27.47802734375,1.6092709537519074,-0.04528237565792903,-38.77802734375,0.11128,48.296,UNDervalued - Strong Buy
GPI.BK,Grand Prix International Public Company Limited,Communication Services,1.63,0.978,108.16847975,0.0478841276793995,0.14,11.642857,0.196,-27.91748046875,1.6307253579312029,0.04450048657687056,-47.51748046875,0.1106,1.844,UNDervalued - Strong Buy
