Ticker,Price_Row_Count,Has_Prices
ADVANC.BK,2428,True
AKR.BK,2428,True
AOT.BK,2428,True
AP.BK,2428,True
ASAP.BK,2193,True
ASIAN.BK,2428,True
AWC.BK,1575,True
BANPU.BK,2428,True
BAY.BK,2428,True
BBL.BK,2428,True
BCH.BK,2428,True
BCPG.BK,2317,True
BCT.BK,2428,True
BDMS.BK,2428,True
BEM.BK,2428,True
BGRIM.BK,2120,True
BH.BK,2428,True
BJC.BK,2428,True
BRR.BK,2428,True
BTS.BK,2428,True
CBG.BK,2428,True
CCET.BK,2428,True
CENTEL.BK,2428,True
CGD.BK,2428,True
CHG.BK,2428,True
CIMBT.BK,2428,True
COM7.BK,2428,True
CPALL.BK,2428,True
CPF.BK,2428,True
CPN.BK,2428,True
CRC.BK,1487,True
DELTA.BK,2428,True
DRT.BK,2428,True
EA.BK,2428,True
EGCO.BK,2428,True
ERW.BK,2428,True
FPI.BK,2428,True
FPT.BK,2428,True
GLOBAL.BK,2428,True
GPI.BK,2029,True
GPSC.BK,2428,True
GULF.BK,246,True
HANA.BK,2428,True
HMPRO.BK,2428,True
IRPC.BK,2428,True
ITD.BK,2428,True
IVL.BK,2428,True
JAS.BK,2428,True
JMART.BK,2428,True
JMT.BK,2428,True
KBANK.BK,2428,True
KBS.BK,2428,True
KCE.BK,2428,True
KKP.BK,2428,True
KSL.BK,2428,True
KTB.BK,2428,True
KTC.BK,2428,True
LH.BK,2428,True
MEGA.BK,2428,True
MINT.BK,2428,True
MTC.BK,2428,True
NCH.BK,2428,True
NOBLE.BK,2428,True
OR.BK,1250,True
OSP.BK,1815,True
PF.BK,2428,True
PG.BK,2428,True
PRIN.BK,2428,True
PSL.BK,2428,True
PTT.BK,2428,True
PTTEP.BK,2428,True
PTTGC.BK,2428,True
RATCH.BK,2428,True
RBF.BK,1567,True
RCL.BK,2428,True
RML.BK,2428,True
RS.BK,2428,True
SAWAD.BK,2428,True
SCB.BK,962,True
SCC.BK,2428,True
SCGP.BK,1324,True
SITHAI.BK,2428,True
SPALI.BK,2428,True
SPRC.BK,2428,True
STPI.BK,2428,True
TCAP.BK,2428,True
THANI.BK,2428,True
TIDLOR.BK,221,True
TISCO.BK,2428,True
TLI.BK,903,True
TOP.BK,2428,True
TR.BK,2428,True
TRUE.BK,2428,True
TTB.BK,2428,True
TU.BK,2428,True
TVO.BK,2428,True
VGI.BK,2428,True
WHA.BK,2428,True
WPH.BK,2068,True
XPG.BK,2428,True
